DateTime,co2_concentration,air_temperature,relative_humidity,apt_no,room_no,kitchen,livingroom,bedroom,office,kitchen_livingroom,room_type,floor_area,Hour of the day,Day number of the week,window_opening_gt,occupancy_ground_truth
30-01-23 21:15,651.9288,20.47,36.926039,1,1,0,0,1,0,0,1,16,21,1,0,0
30-01-23 21:20,,,,1,1,0,0,1,0,0,1,16,21,1,0,0
30-01-23 21:25,639.5553,20.46005,36.907541,1,1,0,0,1,0,0,1,16,21,1,0,0
30-01-23 21:30,647.8043,20.4501,36.870545,1,1,0,0,1,0,0,1,16,21,1,0,0
30-01-23 21:35,637.0806,20.44015,36.889043,1,1,0,0,1,0,0,1,16,21,1,0,0
30-01-23 21:40,666.777,20.46005,36.852047,1,1,0,0,1,0,0,1,16,21,1,0,0
30-01-23 21:45,613.9834,20.44015,36.8243,1,1,0,0,1,0,0,1,16,21,1,0,0
30-01-23 21:50,661.8276,20.44015,36.787304,1,1,0,0,1,0,0,1,16,21,1,0,0
30-01-23 21:55,629.6565,20.44015,36.796553,1,1,0,0,1,0,0,1,16,21,1,0,0
30-01-23 22:00,640.3802,20.40035,36.759557,1,1,0,0,1,0,0,1,16,22,1,0,0
30-01-23 22:05,632.1312,20.4103,36.787304,1,1,0,0,1,0,0,1,16,22,1,0,0
